Request URL,url
http://www.rookiestew.com/page/12/,http://www.rookiestew.com/video-perfect-take-every-delhi-guy-work-is-undeniably-funny/
http://www.rookiestew.com/page/12/,http://www.rookiestew.com/super-hilarious-memes-prove-pranab-mukherjee-president-swag/
http://www.rookiestew.com/page/12/,http://www.rookiestew.com/fancy-doing-sting-operation-corruption-aam-aadmi-party-plan/
http://www.rookiestew.com/page/12/,http://www.rookiestew.com/rohtak-bravegirls-failed-detecter-test-guilty/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/end-era-curtain-call-dilwale-dulhania-le-jayenge-maratha-mandir/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/things-made-cricket-world-cup-far-interesting-year-ever/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/messages-talk-why-child-sexual-abuse-need-shatter-in-silence-anymore/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/funny-parenting-dos-donts-amateur-parent-needs-see/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/images-celebrate-idea-which-india-built-unity/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/panchayat-orders-rape-victim-31000-forget-about-but-not-something-interesting-happens/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/air-india-pilot-stuck-temple-mahashivratri-delayed-flight-3-hours/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/unpleasant-act-racism-hindu-temple-vandalized-graffiti-usa-ocassion-shivratri/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/app-will-measure-delhis-air-pollution-real-time/
http://www.rookiestew.com/page/13/,http://www.rookiestew.com/after-bollywood-krk-tries-irk-indian-cricketer-yuvraj-singh/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/baby-born-train-toilet-dropped-tracks-miraculously-survives/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/pm-modis-controversial-suit-name-auctioned-surat-today/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/90-men-date-other-mens-wives-eccentric-statement-minister/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/marijuana-doesnt-increase-likelihood-car-crashes/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/this-short-story-about-a-couple-trying-to-commit-suicide-in-the-woods-will-cover-you-with-goosebumps/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/these-12-bollywood-celebrity-names-before-they-became-famous-will-totally-surprise-you/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/which-indian-cricketer-are-you/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/bunch-americans-watched-cricket-first-time-hilarious-reactions/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/these-hilarious-product-marketing-so-funny-literally-leave-eyes-bloodshot/
http://www.rookiestew.com/page/14/,http://www.rookiestew.com/famous-unknown-indian-faces-indubitably-deserve-mention/
http://www.rookiestew.com/page/15/,http://www.rookiestew.com/a-cute-guy-tries-his-best-on-finding-himself-a-valentine-but-fails-because-she-was-killed/
http://www.rookiestew.com/page/15/,http://www.rookiestew.com/interesting-facts-about-nutty-india-pakistan-world-cup-clashes-right/
