Request URL,title,publisher,date
http://www.rookiestew.com/unpleasant-act-racism-hindu-temple-vandalized-graffiti-usa-ocassion-shivratri/,Hindu Temple Vandalized With Graffiti In USA On The Occasion Of Shivratri  Yet Another Act Of Racism?,Post By: RS Staff,"Feb 18, 2015"
http://www.rookiestew.com/app-will-measure-delhis-air-pollution-real-time/,This App Will Let You Measure Delhis Air Pollution  All In Real Time,Post By: RS Staff,"Feb 18, 2015"
http://www.rookiestew.com/after-bollywood-krk-tries-irk-indian-cricketer-yuvraj-singh/,"After Bollywood, KRK Now Tries To Irk Indian Cricketer Yuvraj Singh",Post By: RS Staff,"Feb 18, 2015"
http://www.rookiestew.com/baby-born-train-toilet-dropped-tracks-miraculously-survives/,Baby Born In Train Toilet And Dropped Onto Tracks Miraculously Survives,Post By: RS Staff,"Feb 18, 2015"
http://www.rookiestew.com/pm-modis-controversial-suit-name-auctioned-surat-today/,PM Modis Controversial Suit With His Name On It To Be Auctioned In Surat Today,Post By: RS Staff,"Feb 18, 2015"
http://www.rookiestew.com/90-men-date-other-mens-wives-eccentric-statement-minister/,90% Men Date Other Mens Wives: Yet Another Eccentric Statement By A Minister,Post By: RS Staff,"Feb 18, 2015"
http://www.rookiestew.com/marijuana-doesnt-increase-likelihood-car-crashes/,Recent Study Shows That Marijuana Doesnt Increase The Likelihood Of Car Crashes,Post By: RS Staff,"Feb 18, 2015"
http://www.rookiestew.com/this-short-story-about-a-couple-trying-to-commit-suicide-in-the-woods-will-cover-you-with-goosebumps/,This Short Story About A Couple Trying To Commit Suicide In The Woods Will Cover You With Goosebumps.,Post By: RS Staff,"Feb 17, 2015"
http://www.rookiestew.com/these-12-bollywood-celebrity-names-before-they-became-famous-will-totally-surprise-you/,These 12 Bollywood Celebrity Names Before They Became Famous Will Totally Surprise You,Post By: RS Staff,"Feb 17, 2015"
http://www.rookiestew.com/which-indian-cricketer-are-you/,Which Indian Cricketer Are You?,,"Feb 16, 2015"
http://www.rookiestew.com/bunch-americans-watched-cricket-first-time-hilarious-reactions/,A Bunch Of Americans Watched Cricket For The First Time And Gave Hilarious Reactions,Post By: RS Staff,"Feb 16, 2015"
http://www.rookiestew.com/these-hilarious-product-marketing-so-funny-literally-leave-eyes-bloodshot/,These 14 Hilarious Product Marketing Fails Are So Funny That They Will Literally Leave Your Eyes Bloodshot,Post By: RS Staff,"Feb 15, 2015"
